,imageURL,movieId,title,type,typeId,imdbRank,cast,releaseYear,duration,genres,cast1,cast2
1564,"{'height': 1471, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDlmYWRkNzktOThkYS00ODIwLTkwYzYtY2NmNjIxMzc2MjI5XkEyXkFqcGdeQXVyOTg1NDg3NzY@._V1_.jpg', 'width': 1080}",tt0412953,Magkano ang iyong dangal?,feature,movie,303039.0,"Christopher De Leon, Zsa Zsa Padilla",1988.0,,Drama,Christopher De Leon, Zsa Zsa Padilla
1565,"{'height': 1100, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmYxZWQwYmYtZmNiOC00MGNlLWI3MGQtMjBjY2M3YjJiNWZkXkEyXkFqcGdeQXVyODk2MTY2OTk@._V1_.jpg', 'width': 682}",tt1427244,Kapirasong dangal,feature,movie,443402.0,"Maria Isabel Lopez, Dante Rivero",1986.0,,Drama,Maria Isabel Lopez, Dante Rivero
1566,,tt0786976,Ang dangal,feature,movie,515466.0,"Gerardo de Leon, Angel Esmeralda",1934.0,,,Gerardo de Leon, Angel Esmeralda
1567,"{'height': 454, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjEwNjk0MTktYmM2YS00MTM0LTgzMzgtNmMyMzBlNmMxYzNhXkEyXkFqcGdeQXVyNjIwNDI3NzI@._V1_.jpg', 'width': 324}",tt6027478,Dhruva,feature,movie,104123.0,"Ram Charan, Arvind Swamy",2016.0,,"Action, Crime, Thriller",Ram Charan, Arvind Swamy
1570,"{'height': 1075, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTlmMjNmNmUtNDkyOS00NWM1LThkYWItNzhmYWZhMTU5OGU2XkEyXkFqcGdeQXVyOTY3OTAzOTQ@._V1_.jpg', 'width': 1080}",tt14677610,Dhruva,feature,movie,379394.0,"Sherin Shringar, Avinash",2002.0,,Drama,Sherin Shringar, Avinash
1572,,tt0156476,Dhruva Kumar,feature,movie,367365.0,Rohini,1938.0,,,Rohini,
1578,"{'height': 660, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTMxNzYwMjc1Ml5BMl5BanBnXkFtZTcwNDI3MDE3Mg@@._V1_.jpg', 'width': 446}",tt1131734,Jennifer's Body,feature,movie,1536.0,"Megan Fox, Amanda Seyfried",2009.0,,"Comedy, Horror",Megan Fox, Amanda Seyfried
1579,"{'height': 2218, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmI3MjllNmEtZjI5Yi00YWI3LTkxMDctZTJlYmNlYmMyYjQwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg', 'width': 1467}",tt0082089,Body Heat,feature,movie,3871.0,"William Hurt, Kathleen Turner",1981.0,,"Crime, Drama, Romance, Thriller",William Hurt, Kathleen Turner
1580,"{'height': 500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjAxNzkzOTkwM15BMl5BanBnXkFtZTcwNTMyNzkxNQ@@._V1_.jpg', 'width': 349}",tt1587669,Body of Proof,TV series,tvSeries,4275.0,"Dana Delany, Jeri Ryan",2011.0,2011-2013,"Comedy, Crime, Drama, Mystery",Dana Delany, Jeri Ryan
1581,"{'height': 2265, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOTBmM2ViMTAtZmUwMi00YjY2LWE0NGQtZGVlMDk4ZTZhZGM4XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg', 'width': 1491}",tt0086984,Body Double,feature,movie,4645.0,"Craig Wasson, Melanie Griffith",1984.0,,"Crime, Drama, Mystery, Thriller",Craig Wasson, Melanie Griffith
1582,"{'height': 1200, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTgzOTY3MTM0OV5BMl5BanBnXkFtZTcwNjc5MTI5MQ@@._V1_.jpg', 'width': 810}",tt0758774,Body of Lies,feature,movie,4916.0,"Leonardo DiCaprio, Russell Crowe",2008.0,,"Action, Drama, Thriller",Leonardo DiCaprio, Russell Crowe
1583,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOTk2NzUyOTctZDdlMS00MDJlLTgzNTEtNzQzYjFhNjA0YjBjXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_.jpg', 'width': 1382}",tt5753856,Dark,TV series,tvSeries,385.0,"Louis Hofmann, Karoline Eichhorn",2017.0,2017-2020,"Crime, Drama, Mystery, Sci-Fi, Thriller",Louis Hofmann, Karoline Eichhorn
1584,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg', 'width': 1383}",tt0468569,The Dark Knight,feature,movie,163.0,"Christian Bale, Heath Ledger",2008.0,,"Action, Crime, Drama, Thriller",Christian Bale, Heath Ledger
1585,"{'height': 720, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg', 'width': 486}",tt1345836,The Dark Knight Rises,feature,movie,402.0,"Christian Bale, Tom Hardy",2012.0,,"Action, Drama, Thriller",Christian Bale, Tom Hardy
1586,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWJlNTIzYjEtZGU1Ni00MmU0LTk5YzMtZTcxOTYwOGMxYzExXkEyXkFqcGdeQXVyMjg1NDcxNDE@._V1_.jpg', 'width': 1013}",tt1077368,Dark Shadows,feature,movie,1747.0,"Johnny Depp, Michelle Pfeiffer",2012.0,,"Comedy, Fantasy, Horror",Johnny Depp, Michelle Pfeiffer
1587,"{'height': 12000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZTkyODExOTctY2E3My00M2U5LWI2OGItNzRlZDk1OWJmOWQ3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg', 'width': 8100}",tt28066777,Orion and the Dark,feature,movie,1013.0,"Jacob Tremblay, Paul Walter Hauser",2024.0,,"Animation, Adventure, Comedy, Family, Fantasy, Mystery",Jacob Tremblay, Paul Walter Hauser
1588,"{'height': 1430, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMGExOGExM2UtNWM5ZS00OWEzLTllNzYtM2NlMTJlYjBlZTJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', 'width': 916}",tt0118929,Dark City,feature,movie,2458.0,"Rufus Sewell, Kiefer Sutherland",1998.0,,"Fantasy, Mystery, Sci-Fi, Thriller",Rufus Sewell, Kiefer Sutherland
1589,"{'height': 4096, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTk0ODg3N2EtMmE5NC00MTRiLWExMzAtMDgyNDFjYWZmM2ViXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg', 'width': 2765}",tt9204328,Dark Harvest,feature,movie,2401.0,"Casey Likes, Emyri Crutchfield",2023.0,,"Fantasy, Horror",Casey Likes, Emyri Crutchfield
1590,"{'height': 2047, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMmZmYTgwZGItNDIxMS00MmRkLWEzODQtYTllNzM0ZWE1NmQ5XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_.jpg', 'width': 1382}",tt6565702,Dark Phoenix,feature,movie,2723.0,"James McAvoy, Michael Fassbender",2019.0,,"Action, Adventure, Sci-Fi",James McAvoy, Michael Fassbender
1591,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_.jpg', 'width': 1293}",tt2322441,Fifty Shades of Grey,feature,movie,462.0,"Dakota Johnson, Jamie Dornan",2015.0,,"Drama, Romance, Thriller",Dakota Johnson, Jamie Dornan
1592,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTQ5NTk0Njg2N15BMl5BanBnXkFtZTgwNzk5Nzk3MDI@._V1_.jpg', 'width': 1293}",tt4465564,Fifty Shades Darker,feature,movie,2221.0,"Dakota Johnson, Jamie Dornan",2017.0,,"Drama, Mystery, Romance, Thriller",Dakota Johnson, Jamie Dornan
1593,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTYxOTQ1MzI0Nl5BMl5BanBnXkFtZTgwMzgwMzIxNDM@._V1_.jpg', 'width': 1293}",tt4477536,Fifty Shades Freed,feature,movie,2135.0,"Dakota Johnson, Jamie Dornan",2018.0,,"Drama, Mystery, Romance, Thriller",Dakota Johnson, Jamie Dornan
1594,"{'height': 568, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjJjMDA4NTItZWY2Mi00ZWRkLWFlZGQtNTU2ZGY1MDY5YTdmXkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_.jpg', 'width': 426}",tt4118584,Shades of Blue,TV series,tvSeries,13364.0,"Jennifer Lopez, Ray Liotta",2016.0,2016-2018,"Action, Crime, Drama, Thriller",Jennifer Lopez, Ray Liotta
1595,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTQ3MTg3MzY4OV5BMl5BanBnXkFtZTgwNTI4MzM1NzE@._V1_.jpg', 'width': 1013}",tt4667094,Fifty Shades of Black,feature,movie,11745.0,"Marlon Wayans, Kali Hawk",2016.0,,Comedy,Marlon Wayans, Kali Hawk
1596,"{'height': 1200, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjQ3MDRmOTktOWIzYy00NGNlLTljNzctYzM1Y2EyNmFiODNkXkEyXkFqcGdeQXVyMTQ3NTI4MzMx._V1_.jpg', 'width': 810}",tt19715962,Darker Shades of Summer,feature,movie,11884.0,"Danielle Scott, Mark Sears",2023.0,,"Romance, Thriller",Danielle Scott, Mark Sears
1597,"{'height': 1024, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzIwNDI5MjYxMl5BMl5BanBnXkFtZTgwNDIyNjk1NDE@._V1_.jpg', 'width': 725}",tt2120025,Biology 101,feature,movie,31427.0,"David Christian Welborn, Noelle DuBois",2013.0,,"Drama, Mystery, Thriller",David Christian Welborn, Noelle DuBois
1598,"{'height': 2121, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmVmZmUwYTAtNWVhNS00NDhmLTllZGUtOTQ3ZDNlMzUxZWY3XkEyXkFqcGdeQXVyNTY2MzkxMjc@._V1_.jpg', 'width': 1500}",tt3689304,Shades of Guilt,TV series,tvSeries,35343.0,"Moritz Bleibtreu, Anna Stieblich",2015.0,2015-2019,Crime,Moritz Bleibtreu, Anna Stieblich
1599,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYThmMzU2OGMtYjY4OC00ZmQ2LTk5OWQtYzUyMjFmZTNiOWQwXkEyXkFqcGdeQXVyOTA0NTIzNzU@._V1_.jpg', 'width': 713}",tt0382383,Yuva,feature,movie,81521.0,"Ajay Devgn, Abhishek Bachchan",2004.0,,"Action, Drama, Thriller",Ajay Devgn, Abhishek Bachchan
1600,"{'height': 817, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDdmMzhhOTUtZWNkYS00NmY3LWI3MTItN2FlMTYzMzFkZDE3XkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_.jpg', 'width': 568}",tt24225188,Yuva,feature,movie,147104.0,"Sapthami Gowda, Achyuth Kumar",2024.0,,"Action, Romance",Sapthami Gowda, Achyuth Kumar
1604,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMGRjYzI5ZGUtZGJjYy00ZTYyLWJlNzItNWM0MDc0ZDVmM2IwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg', 'width': 1013}",tt8338762,The Nest,feature,movie,6878.0,"Jude Law, Carrie Coon",2020.0,,"Drama, Romance, Thriller",Jude Law, Carrie Coon
1605,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNWE0YmQwYTctOGRmMy00N2JiLTkwODEtMGU3NTMyYmM4YjY2XkEyXkFqcGdeQXVyNzUwMDcxNw@@._V1_.jpg', 'width': 672}",tt8824852,Yuva,feature,movie,351133.0,"Kutay Sandikçi, Eray Cezayirlioglu",2018.0,,Drama,Kutay Sandikçi, Eray Cezayirlioglu
1607,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODUwNDNjYzctODUxNy00ZTA2LWIyYTEtMDc5Y2E5ZjBmNTMzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 750}",tt8178634,RRR,feature,movie,1674.0,"N.T. Rama Rao Jr., Ram Charan",2022.0,,"Action, Adventure, Drama",N.T. Rama Rao Jr., Ram Charan
1608,"{'height': 640, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDNjYWIzMDMtNjc0Ni00MmNmLWE5YmQtZTZhNGY4NjQ2MzNiXkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_.jpg', 'width': 640}",tt16961102,RRR: Naatu Naatu,musicVideo,musicVideo,63809.0,"Ram Charan, N.T. Rama Rao Jr.",2021.0,,"Short, Music, Musical",Ram Charan, N.T. Rama Rao Jr.
1610,"{'height': 3024, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjE5YTVjY2QtZTk0Ni00NmM2LWJmZGMtNzZhYzY5OWE1ZWEzXkEyXkFqcGdeQXVyODEyNjEwMDk@._V1_.jpg', 'width': 4032}",tt15191642,RRR: Dosti,musicVideo,musicVideo,306761.0,"Ram Charan, Yazin Nizar",2021.0,,Music,Ram Charan, Yazin Nizar
1611,"{'height': 1024, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODg1YjI2OTQtZDdkMy00NDA4LTk4MDQtZWFiMjhiNjI5ZjUxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg', 'width': 773}",tt0357111,RRRrrrr!!!,feature,movie,44709.0,"Marina Foïs, Gérard Depardieu",2004.0,,"Comedy, Crime, Mystery, Sci-Fi",Marina Foïs, Gérard Depardieu
1614,"{'height': 548, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZDNhM2Y3ZGEtNGI4Zi00NWNlLWFjNTMtOGMyYmM3YTYzNTM0XkEyXkFqcGdeQXVyMTMzMzEwNzQ4._V1_.jpg', 'width': 614}",tt14681510,Agent RRR,TV mini-series,tvMiniSeries,1235153.0,Klaus Joacim Sonstad,2014.0,2014-2014,Comedy,Klaus Joacim Sonstad,
1615,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNmFmMTJiZGMtYWRjMC00ZDljLWJkZGUtYmRmMGJlYmI5MTI3XkEyXkFqcGdeQXVyNjQ3ODkxMjE@._V1_.jpg', 'width': 1000}",tt1649431,Vedam,feature,movie,126285.0,"Allu Arjun, Anushka Shetty",2010.0,,"Action, Drama",Allu Arjun, Anushka Shetty
1616,"{'height': 350, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjBlNDg5YzMtN2UxMC00ZGRlLWFiZjAtY2VmYzlmMmZkNzI3XkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_.jpg', 'width': 255}",tt0156166,Vedam Puthithu,feature,movie,453830.0,"Amala Akkineni, Charu Haasan",1987.0,,Drama,Amala Akkineni, Charu Haasan
1617,,tt16253634,Anjam Vedam,feature,movie,605505.0,"Jayan Cherthala, Baiju Ezhupunna",2021.0,,Thriller,Jayan Cherthala, Baiju Ezhupunna
1618,"{'height': 1349, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNGNhN2NjMTgtODU3OC00ZmM4LWI4YTUtYmNhMTU0OGQxYmE0XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg', 'width': 943}",tt24224504,Farewell Letter,TV series,tvSeries,27901.0,"Rabia Soytürk, Emre Kivilcim",2023.0,2023-2023,Drama,Rabia Soytürk, Emre Kivilcim
1619,"{'height': 510, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzczMzliZDktNDhkOS00MTFiLThlZTAtN2YwNzcwNTE1ZGRiXkEyXkFqcGdeQXVyMTMzMjUyNA@@._V1_.jpg', 'width': 575}",tt0280537,Chathur Vedam,feature,movie,1323930.0,"Alummoodan, Bahadur",1977.0,,,Alummoodan, Bahadur
1623,"{'height': 978, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMmQ0ZDk3NWItZjA2Mi00ZWQ2LWI1Y2MtN2Q2MDk5NTY1NGEyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg', 'width': 660}",tt0274033,Rangam,feature,movie,323032.0,"Mohanlal, Raveendran",1985.0,,,Mohanlal, Raveendran
1624,"{'height': 1221, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYTIxNzU4NTctM2RjNS00ODk3LWJiZGUtZjMzMjBiMTk4NzBkXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg', 'width': 977}",tt11773308,Ranga Maarthaanda,feature,movie,57250.0,"Prakash Raj, Ramya Krishnan",2023.0,,Drama,Prakash Raj, Ramya Krishnan
1625,"{'height': 952, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmIxNmY0M2EtNjM4Yy00ZGM1LTgyYmUtOGE4ZGFmMGU0YWIwXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 641}",tt1851988,Ko,feature,movie,64572.0,"Jiiva, Ajmal Ameer",2011.0,,"Action, Thriller",Jiiva, Ajmal Ameer
1626,"{'height': 1778, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjZhM2IyZTktNjFiZS00NWFlLTg0NzMtMzIxZTcxNjRkOGE4XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg', 'width': 1200}",tt28642796,A Killer Paradox,TV series,tvSeries,1607.0,"Choi Woo-sik, Son Suk-ku",2024.0,,"Comedy, Crime, Thriller",Choi Woo-sik, Son Suk-ku
1627,"{'height': 907, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDEwNTg0N2ItZjU0Zi00NmU3LTk1ZjktYzQ2NzliOGUyMjMwXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 665}",tt2571022,Yaan,feature,movie,192045.0,"Jiiva, Thulasi Nair",2014.0,,"Action, Thriller",Jiiva, Thulasi Nair
1629,,tt14617290,Rangamahal Rahasya,feature,movie,621452.0,"Udaya Kumar, Srinath",1970.0,,Crime,Udaya Kumar, Srinath
1631,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWI2MTBmZmQtMzM5Ny00MDBmLWEzYWMtMzFkMjgzN2UwOTE1XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_.jpg', 'width': 1330}",tt26655108,Family Star,feature,movie,50630.0,"Mrunal Thakur, Vijay Deverakonda",2024.0,,Family,Mrunal Thakur, Vijay Deverakonda
1632,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWMxNzAwMzYtODI0MS00Nzk2LWJjNTYtYWRmNWY3YTU2MmU3XkEyXkFqcGdeQXVyOTk3MDYxNw@@._V1_.jpg', 'width': 676}",tt0083484,Star of the Family,TV series,tvSeries,104582.0,"Brian Dennehy, Katherine Saltzberg",1982.0,1982-1982,Comedy,Brian Dennehy, Katherine Saltzberg
1633,"{'height': 1440, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzBlNmU1ZTQtNzk0Zi00OGI4LTllZGYtZWYxNTgyMmM1YjljXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_.jpg', 'width': 960}",tt1307479,All Star Family Fortunes,TV series,tvSeries,101960.0,"Vernon Kay, Peter Dickson",2006.0,2006-2015,Game-Show,Vernon Kay, Peter Dickson
1634,"{'height': 750, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODRhMzMxNTgtOWIyYi00OGQ2LWI4NzItZDRhNDA5MTE4MmRiXkEyXkFqcGdeQXVyODE1MjY4Nzg@._V1_.jpg', 'width': 500}",tt26349415,Five-Star Family,TV series,tvSeries,266517.0,"Sulafa Memar, Amal Arafah",1994.0,1994-1995,Comedy,Sulafa Memar, Amal Arafah
1635,"{'height': 500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWY3ODNkOWItZTZmMC00M2I3LWJkNWItODVjYWI0OWIwYzg0XkEyXkFqcGdeQXVyNjkxMjAzMTI@._V1_.jpg', 'width': 358}",tt0385503,All-Star Family Feud Special,TV series,tvSeries,250243.0,"Richard Dawson, Gene Wood",1978.0,1978-1984,Game-Show,Richard Dawson, Gene Wood
1636,"{'height': 360, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDgzMDZkZDMtYjRkNS00MWVlLWI4YTgtOGQxOTZhMjlkNGNkXkEyXkFqcGdeQXVyMjcyMDU4NA@@._V1_.jpg', 'width': 302}",tt0042148,Star of the Family,TV series,tvSeries,900519.0,"Carl Hoff Orchestra, The Beatrice Kraft Dancers",1950.0,1950-1952,"Comedy, Music, Talk-Show",Carl Hoff Orchestra, The Beatrice Kraft Dancers
1637,"{'height': 1494, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjM0MjMyMzA1M15BMl5BanBnXkFtZTgwMzQ5NDgwMDE@._V1_.jpg', 'width': 1209}",tt3060094,Relativity: The Family Saga of Star Trek - The Next Generation,feature,movie,384239.0,"Rick Berman, Brannon Braga",2013.0,,Documentary,Rick Berman, Brannon Braga
1638,,tt4855704,Stark: A True Texas Family Tale,feature,movie,388140.0,Stark Sands,2014.0,,"Documentary, Crime, Family, Mystery",Stark Sands,
1639,"{'height': 655, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjlmMDUzMzQtYzY4OC00NGYwLWI1MmItMGIyYTk0NDFlMWZmXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg', 'width': 468}",tt2926068,Manam,feature,movie,110645.0,"Akkineni Nageswara Rao, Nagarjuna Akkineni",2014.0,,"Comedy, Drama, Fantasy",Akkineni Nageswara Rao, Nagarjuna Akkineni
1640,"{'height': 332, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMGVjNzJkOTctODZiOS00N2U3LTliZGUtY2E0ZGExOTJiN2EzXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 281}",tt5439126,Manam Kothi Paravai,feature,movie,125037.0,"Sivakarthikeyan, Athmeeya Rajan",2012.0,,"Comedy, Romance",Sivakarthikeyan, Athmeeya Rajan
1641,"{'height': 720, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzFjOWYyNWItMTY4MC00MGQ2LWE4MTgtZGY3YTcyYWYzZDkwXkEyXkFqcGdeQXVyMTg4NjIyMTE@._V1_.jpg', 'width': 1280}",tt12363484,Manam,feature,movie,310116.0,"Leela Samson, Pradeep K Vijayan",2020.0,,Drama,Leela Samson, Pradeep K Vijayan
1643,"{'height': 980, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWY1YTdkY2QtNThhOS00Y2Y3LTgzMmItMDU5Yzc1ZjFhNzAxXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg', 'width': 720}",tt0289316,Manam Virumbuthey Unnai,feature,movie,313782.0,"Prabhu, Meena",1999.0,,,Prabhu, Meena
1644,"{'height': 2015, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTZlM2IzN2UtMDBmYy00NzllLWI2MDUtYmQyNzVkMDJiMTk1XkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_.jpg', 'width': 1511}",tt5600934,Manam Oru Korangu,feature,movie,359304.0,"T.S. Balaiah, R. Muthuraman",1967.0,,Comedy,T.S. Balaiah, R. Muthuraman
1646,"{'height': 500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmYwNDJiYzQtZmQ0NC00MjFmLWIyMTktMGE4NmRkODBiNWQ4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_.jpg', 'width': 375}",tt0352672,Onnam Manam Poomanam,feature,movie,326087.0,"Venu Nagavalli, Shankar",1987.0,,,Venu Nagavalli, Shankar
1650,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzFiYTk0ZmYtYWY3OC00MGQ1LWFjZGEtMjZmOTQyZWFjYjg2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 1090}",tt0173102,Raju Ban Gaya Gentleman,feature,movie,43359.0,"Shah Rukh Khan, Juhi Chawla",1992.0,,"Comedy, Musical, Romance",Shah Rukh Khan, Juhi Chawla
1651,"{'height': 648, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTUxZjJjZTQtN2VlNi00Zjk3LWE2OWItZTBmNWY3NjJkODE5XkEyXkFqcGdeQXVyMTU0OTc4MjA2._V1_.jpg', 'width': 1152}",tt19402406,Inside Politics Sunday with Manu Raju,TV series,tvSeries,23145.0,"Robert Downey Jr., Jude Law",2023.0,,,Robert Downey Jr., Jude Law
1653,"{'height': 1080, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzNhZTM3NWYtNzJjMy00ZTM3LWI3MDgtNmE2OTg4ZWM5ZTNmXkEyXkFqcGdeQXVyOTk5NDQ1NjQ@._V1_.jpg', 'width': 1920}",tt31146409,Skrito v raju,TV series,tvSeries,38691.0,"Aleksandra Balmazovic, Matej Zemljic",2024.0,,"Drama, Romance",Aleksandra Balmazovic, Matej Zemljic
1654,"{'height': 373, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmE2YWJmYWMtMDhmZC00ZmM0LTk2NjQtYTdiZjViMTNiOWM5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 265}",tt0271748,Raju Chacha,feature,movie,84323.0,"Kajol, Ajay Devgn",2000.0,,"Action, Comedy, Drama, Family",Kajol, Ajay Devgn
1655,"{'height': 763, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMDQxNWQ2YzAtM2MzNy00ODYyLTlhNmMtNzc2NzdkMzU0MWU0XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg', 'width': 378}",tt1285004,Raju Bhai,feature,movie,101168.0,"Mohammad Ali, Tanikella Bharani",2007.0,,Drama,Mohammad Ali, Tanikella Bharani
1656,"{'height': 5100, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWZiZTk0MDktNjMzZC00MGMyLWE5MjItNjQ2NzMyYTliZjJjXkEyXkFqcGdeQXVyMTA4NTkxNTI3._V1_.jpg', 'width': 3300}",tt15299800,Villain Raju Bhai,video,video,708125.0,Sm Ravi Chauhan,2020.0,,"Short, Comedy",Sm Ravi Chauhan,
1657,,tt12749664,Raju Amar Bhai,TV movie,tvMovie,979022.0,"Aliraj, Alexander Bow",2008.0,,"Action, Family",Aliraj, Alexander Bow
1663,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZjAzZjZiMmQtMDZmOC00NjVmLTkyNTItOGI2Mzg4NTBhZTA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 2076}",tt4169250,M.S. Dhoni: The Untold Story,feature,movie,24924.0,"Sushant Singh Rajput, Kiara Advani",2016.0,,"Biography, Drama, Sport",Sushant Singh Rajput, Kiara Advani
1664,"{'height': 1220, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDNjMmI3OTYtM2E4Yy00ZmRmLWFjZGItMTcyMWU2YzY5ZTM4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 995}",tt2217781,Dhoni,feature,movie,143049.0,"Prakash Raj, Akash Puri",2012.0,,"Drama, Family",Prakash Raj, Akash Puri
